Project url,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
https://github.com/google/tangent.git,0,0,0,0,1,0,0,1,1,0
https://github.com/keras-team/keras-applications.git,1,1,1,1,1,1,1,0,1,0
https://github.com/tensorflow/ranking.git,1,1,1,0,0,0,0,0,0,1
https://github.com/minimaxir/textgenrnn.git,1,1,1,0,1,1,1,0,1,0
https://github.com/raghakot/keras-vis.git,1,1,0,1,1,1,1,0,0,1
https://github.com/Hironsan/anago.git,1,0,1,1,0,1,1,0,1,0
https://github.com/maciejkula/spotlight.git,0,0,0,1,0,0,0,0,0,1
https://github.com/microsoft/vscode-docker,1,0,0,0,0,0,0,0,0,1
https://github.com/microsoft/QuantumKatas,0,1,0,0,1,0,0,1,0,1
https://github.com/microsoft/botbuilder-js,0,1,1,0,0,1,1,1,0,1
https://github.com/microsoft/BotFramework-Composer,0,1,0,1,0,1,1,1,0,1
https://github.com/google/oboe,0,0,0,1,0,0,0,1,0,1
https://github.com/google/WebFundamentals,1,1,0,1,0,1,0,0,0,1
https://github.com/google/flax,0,0,1,1,0,1,0,1,0,1
https://github.com/uber/baseweb,1,0,0,1,0,1,0,0,0,1
https://github.com/PetrochukM/PyTorch-NLP.git,1,1,0,0,0,1,1,1,1,0
https://github.com/eclipse/leshan,1,1,0,0,1,0,0,0,0,1
https://github.com/shenweichen/DeepCTR.git,1,0,0,0,1,0,0,1,1,0
https://github.com/DT42/BerryNet.git,0,0,1,0,0,0,0,1,1,0
https://github.com/PetrochukM/PyTorch-NLP.git,1,0,1,0,1,1,0,1,1,0
https://github.com/deeppomf/DeepCreamPy.git,0,0,0,1,1,0,0,1,1,0
https://github.com/tensorflow/adanet.git,0,1,0,1,1,1,0,0,1,0
https://github.com/tflearn/tflearn.git,0,1,1,0,1,1,1,0,1,0
https://github.com/deepmind/sonnet.git,0,0,1,0,1,0,0,0,1,0
https://github.com/NervanaSystems/nlp-architect.git,0,0,0,0,0,0,0,1,1,0
https://github.com/tryolabs/luminoth.git,0,0,0,0,0,0,0,1,1,0
https://github.com/ClimbsRocks/auto_ml.git,0,0,1,0,1,0,0,0,1,0
https://github.com/evilsocket/pwnagotchi.git,0,0,0,0,0,1,0,1,1,0
https://github.com/NVIDIA/OpenSeq2Seq.git,0,1,0,0,0,1,0,0,0,1
https://github.com/asyml/texar.git,0,1,0,1,0,0,0,0,1,0
https://github.com/NTMC-Community/MatchZoo.git,0,0,0,1,1,1,1,1,0,1
https://github.com/allenai/allennlp.git,0,1,0,1,1,0,1,0,0,1
https://github.com/Unity-Technologies/ml-agents.git,0,1,1,1,0,1,1,0,0,1
https://github.com/tensorlayer/tensorlayer.git,0,1,0,0,0,1,0,0,0,1
https://github.com/NifTK/NiftyNet.git,0,0,1,1,1,0,0,0,0,1
https://github.com/OpenMined/PySyft.git,1,1,0,0,1,0,1,0,0,1
https://github.com/microsoft/PowerToys,1,1,0,0,0,0,1,0,0,1
https://github.com/microsoft/Oryx,0,0,1,0,0,0,0,0,0,1
https://github.com/microsoft/Microsoft365DSC,1,0,1,1,1,0,1,0,0,1
https://github.com/google/jax,0,1,0,1,0,0,1,0,0,1
https://github.com/google/trax,0,0,0,1,1,1,0,0,1,0
https://github.com/google/blockly,1,1,0,0,1,1,1,1,0,1
https://github.com/google/grr,1,0,1,1,1,1,1,1,0,1
https://github.com/google/graphicsfuzz,0,0,0,0,0,1,0,0,0,1
https://github.com/uber/cadence,1,0,0,1,0,0,0,0,1,0
https://github.com/NervanaSystems/coach,0,0,0,1,0,0,1,1,0,1
 https://github.com/tensorflow/tfx,1,0,1,1,0,0,0,0,0,1
https://github.com/tensorflow/models,1,0,1,1,0,1,0,1,0,1
https://github.com/tensorflow/swift-apis,0,0,1,0,0,1,0,0,1,0
https://github.com/tensorflow/datasets,0,0,0,0,0,0,0,0,0,1
 https://github.com/tensorflow/tfjs,1,1,1,1,0,1,1,0,0,1
https://github.com/tensorflow/data-validation,0,0,0,0,0,0,0,0,1,0
https://github.com/tensorflow/serving,0,1,0,0,1,1,0,0,0,1
https://github.com/tensorflow/mesh,0,1,1,1,0,1,0,1,0,1
https://github.com/tensorflow/hub,1,1,0,0,1,0,1,1,0,1
https://github.com/tensorflow/addons,0,0,0,0,0,1,1,0,1,0
